里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數,女,男,小於18歲,18到65歲,大於65歲
臺北市大安區虎嘯里,,5,1,3,3,0%,0%,12,50.00%,50.00%,0%,67%,33%
臺北市大同區重慶里,,3,,,9,54%,1%,12,66.67%,33.33%,8%,42%,50%
臺北市士林區東山里,,1,1,5,5,54%,0%,12,75.00%,25.00%,0%,92%,8%
臺北市信義區黎安里,,,2,1,8,34%,0%,11,72.73%,27.27%,9%,73%,18%
臺北市信義區西村里,1,2,1,1,6,34%,1%,11,63.64%,36.36%,9%,73%,18%
臺北市松山區鵬程里,2,2,,1,6,0%,0%,11,54.55%,45.45%,18%,64%,18%
臺北市松山區福成里,1,,,3,7,34%,0%,11,90.91%,9.09%,0%,73%,27%
臺北市松山區復建里,,,2,5,4,0%,0%,11,63.64%,36.36%,0%,91%,9%
臺北市松山區東勢里,,1,1,5,4,0%,0%,11,72.73%,27.27%,9%,82%,9%
臺北市北投區東華里,1,1,,4,5,0%,0%,11,72.73%,27.27%,0%,82%,18%
臺北市北投區秀山里,,1,1,5,4,86%,1%,11,72.73%,27.27%,0%,82%,18%
臺北市北投區文林里,,,,3,8,0%,0%,11,63.64%,36.36%,18%,82%,0%
臺北市文山區興泰里,,2,,3,6,0%,1%,11,63.64%,36.36%,0%,82%,18%
臺北市文山區樟林里,,1,1,3,6,0%,0%,11,63.64%,36.36%,18%,73%,9%
臺北市內湖區麗山里,1,,,3,7,0%,0%,11,63.64%,36.36%,18%,64%,18%
臺北市內湖區南湖里,,1,1,4,5,0%,0%,11,81.82%,18.18%,18%,64%,18%
臺北市內湖區大湖里,,,,2,9,0%,0%,11,63.64%,36.36%,0%,64%,36%
臺北市中正區富水里,,,2,5,4,54%,63%,11,63.64%,36.36%,18%,73%,9%
臺北市中正區光復里,,,1,3,7,0%,0%,11,45.45%,54.55%,0%,91%,9%
臺北市中山區復華里,,,,5,6,0%,0%,11,90.91%,9.09%,27%,36%,36%
臺北市中山區松江里,,1,,3,7,0%,0%,11,81.82%,18.18%,9%,64%,27%
臺北市大安區龍門里,,1,1,4,5,0%,0%,11,81.82%,18.18%,18%,55%,27%
臺北市大安區群英里,1,3,1,2,4,34%,0%,11,81.82%,18.18%,9%,36%,55%
臺北市大安區昌隆里,,1,,3,7,0%,0%,11,81.82%,18.18%,9%,73%,18%
臺北市士林區福德里,,,,3,8,0%,1%,11,72.73%,27.27%,18%,64%,18%
臺北市士林區義信里,,1,1,3,6,34%,0%,11,72.73%,27.27%,0%,100%,0%
臺北市士林區承德里,1,1,3,2,4,0%,0%,11,54.55%,45.45%,0%,82%,18%
臺北市士林區仁勇里,3,,,2,6,0%,0%,11,45.45%,54.55%,27%,64%,9%
臺北市南港區鴻福里,,,3,2,5,0%,0%,10,50.00%,40.00%,0%,100%,0%
臺北市信義區永吉里,1,,,3,6,0%,0%,10,70.00%,30.00%,0%,80%,20%
臺北市信義區中興里,,,,3,7,0%,0%,10,90.00%,10.00%,10%,70%,20%
臺北市北投區建民里,,,2,2,6,54%,0%,10,90.00%,10.00%,20%,40%,40%
臺北市北投區永明里,1,1,1,3,4,0%,0%,10,80.00%,20.00%,0%,70%,30%
臺北市內湖區內溝里,1,3,,4,2,0%,0%,10,70.00%,20.00%,30%,70%,0%
臺北市中正區龍光里,,,,2,8,34%,0%,10,80.00%,20.00%,10%,80%,10%
臺北市中正區永昌里,,1,,6,3,34%,0%,10,80.00%,20.00%,20%,70%,10%
臺北市大安區錦泰里,,2,1,1,6,0%,0%,10,70.00%,30.00%,10%,80%,10%
臺北市大安區正聲里,,1,1,3,5,0%,0%,10,90.00%,10.00%,10%,80%,10%
臺北市大安區古莊里,,1,,2,7,0%,0%,10,70.00%,30.00%,0%,100%,0%
臺北市松山區美仁里,,,1,,8,0%,0%,9,55.56%,44.44%,33%,67%,0%
臺北市北投區泉源里,,,,7,2,0%,0%,9,66.67%,33.33%,0%,67%,33%
臺北市北投區立賢里,2,,1,3,3,0%,0%,9,88.89%,11.11%,0%,89%,11%
臺北市文山區萬年里,2,,,3,4,0%,0%,9,77.78%,22.22%,11%,67%,22%
臺北市中正區龍福里,2,1,1,1,4,0%,0%,9,33.33%,66.67%,11%,56%,33%
臺北市中正區東門里,,,,4,5,0%,0%,9,44.44%,55.56%,11%,78%,11%
臺北市中正區幸市里,,,,2,7,0%,0%,9,88.89%,11.11%,11%,78%,11%
臺北市中山區埤頭里,1,,3,2,3,0%,0%,9,66.67%,33.33%,11%,67%,22%
臺北市中山區力行里,1,1,,6,1,0%,0%,9,77.78%,22.22%,0%,100%,0%
臺北市大安區龍雲里,1,,,4,4,0%,0%,9,66.67%,33.33%,22%,56%,22%
臺北市大安區龍坡里,,1,,4,4,0%,0%,9,55.56%,44.44%,0%,89%,11%
臺北市大安區古風里,,,1,2,6,0%,0%,9,55.56%,44.44%,22%,78%,0%
臺北市大安區仁慈里,,2,1,1,5,0%,1%,9,88.89%,11.11%,11%,67%,22%
臺北市士林區永福里,,1,1,5,2,0%,1%,9,77.78%,22.22%,0%,100%,0%
臺北市萬華區福音里,,1,1,1,5,0%,0%,8,62.50%,37.50%,0%,75%,25%
臺北市信義區四維里,,4,2,,2,0%,1%,8,37.50%,62.50%,0%,88%,13%
臺北市信義區六藝里,,2,1,1,4,0%,0%,8,75.00%,25.00%,13%,63%,25%
臺北市松山區松基里,1,,2,1,4,0%,0%,8,87.50%,12.50%,0%,75%,25%
臺北市松山區中華里,,1,,4,3,0%,0%,8,62.50%,25.00%,13%,50%,38%
臺北市北投區豐年里,,1,,1,6,71%,1%,8,87.50%,12.50%,0%,75%,25%
臺北市北投區吉利里,1,1,,3,3,0%,0%,8,75.00%,25.00%,25%,75%,0%
臺北市北投區石牌里,,,,3,5,34%,0%,8,87.50%,12.50%,0%,88%,13%
臺北市北投區文化里,,,,2,6,0%,0%,8,87.50%,12.50%,0%,75%,25%
臺北市文山區萬和里,,2,,,6,0%,0%,8,62.50%,37.50%,13%,63%,25%
臺北市中正區愛國里,,1,1,2,4,0%,0%,8,75.00%,25.00%,13%,75%,13%
臺北市中山區龍洲里,,,,4,4,0%,1%,8,62.50%,25.00%,13%,75%,13%
臺北市中山區正守里,1,,,2,5,0%,0%,8,87.50%,12.50%,0%,75%,25%
臺北市中山區北安里,,,2,5,1,0%,0%,8,87.50%,12.50%,0%,75%,25%
臺北市大安區華聲里,,,,3,5,0%,0%,8,87.50%,12.50%,0%,63%,38%
臺北市士林區翠山里,,2,,2,4,0%,0%,8,37.50%,62.50%,25%,25%,50%
臺北市士林區岩山里,,,,3,5,0%,0%,8,100.00%,0.00%,0%,100%,0%
臺北市信義區興隆里,,,,3,4,0%,0%,7,71.43%,28.57%,0%,86%,14%
臺北市信義區嘉興里,,1,,2,4,0%,0%,7,71.43%,28.57%,14%,86%,0%
臺北市松山區復源里,,,2,,5,0%,0%,7,71.43%,28.57%,29%,57%,14%
臺北市文山區景美里,,1,1,2,3,0%,0%,7,71.43%,28.57%,0%,57%,43%
臺北市中正區龍興里,,2,,1,4,0%,0%,7,85.71%,14.29%,0%,71%,29%
臺北市中正區建國里,,,2,1,4,0%,0%,7,57.14%,42.86%,14%,57%,29%
臺北市大安區龍安里,1,1,,2,3,0%,0%,7,85.71%,14.29%,0%,86%,14%
臺北市士林區陽明里,1,1,,1,4,0%,0%,7,71.43%,28.57%,0%,71%,29%
臺北市士林區公館里,,,,3,4,0%,0%,7,57.14%,42.86%,0%,71%,29%
臺北市南港區萬福里,,,,4,2,0%,0%,6,66.67%,33.33%,0%,100%,0%
臺北市內湖區蘆洲里,,1,,2,3,0%,0%,6,66.67%,33.33%,0%,100%,0%
臺北市中正區水源里,,,,1,5,0%,0%,6,33.33%,66.67%,0%,83%,17%
臺北市萬華區騰雲里,1,,,2,2,0%,0%,5,40.00%,60.00%,20%,60%,20%
臺北市萬華區保德里,,,,3,2,34%,1%,5,20.00%,80.00%,0%,100%,0%
臺北市文山區萬有里,,,1,1,3,0%,0%,5,40.00%,60.00%,20%,60%,20%
臺北市文山區老泉里,,,1,1,3,54%,0%,5,80.00%,20.00%,0%,100%,0%
臺北市內湖區西安里,,,,3,2,0%,0%,5,80.00%,20.00%,0%,100%,0%
臺北市中正區黎明里,,,,2,3,0%,0%,5,80.00%,20.00%,20%,80%,0%
臺北市大安區錦華里,,,1,,4,0%,0%,5,80.00%,20.00%,0%,100%,0%
臺北市北投區洲美里,,,,1,3,0%,1%,4,75.00%,25.00%,25%,75%,0%
臺北市大安區永康里,,,1,,3,0%,0%,4,50.00%,50.00%,0%,50%,50%
臺北市士林區溪山里,,,,2,2,0%,1%,4,75.00%,25.00%,25%,75%,0%
臺北市大安區錦安里,,,,,3,0%,0%,3,66.67%,33.33%,0%,100%,0%
臺北市松山區東昌里,,1,,,1,0%,0%,2,100.00%,0.00%,0%,100%,0%
臺北市北投區湖田里,,,,2,,0%,0%,2,100.00%,0.00%,0%,100%,0%
臺北市北投區大屯里,,,2,,,34%,0%,2,0.00%,100.00%,0%,100%,0%
臺北市中正區南門里,,,,1,1,0%,0%,2,0.00%,100.00%,100%,0%,0%
臺北市大安區敦安里,,,,1,1,0%,0%,2,50.00%,50.00%,0%,50%,50%
臺北市大安區臥龍里,,,,2,,0%,0%,2,50.00%,50.00%,0%,50%,50%
臺北市士林區新安里,,,,,2,0%,0%,2,100.00%,0.00%,0%,100%,0%
臺北市士林區菁山里,,,,1,1,0%,0%,2,50.00%,0.00%,0%,100%,0%
臺北市士林區平等里,,,,,2,0%,0%,2,0.00%,100.00%,0%,100%,0%
臺北市信義區新仁里,,,,,1,0%,0%,1,100.00%,0.00%,0%,100%,0%
臺北市中山區大佳里,1,,,,,0%,0%,1,100.00%,0.00%,0%,100%,0%
臺北市大安區光明里,,,,,1,0%,0%,1,100.00%,0.00%,0%,100%,0%
