里,兄弟姊妹間暴力,老人保護,兒少保護,其他家虐,親密關係,低收,障礙,各里總案件數
臺北市中正區梅花里,,79%,,30%,34%,0%,0%,15
臺北市中正區幸福里,,0%,,39%,42%,0%,0%,15
臺北市中山區興亞里,,,,39%,49%,54%,1%,15
臺北市大安區德安里,,,,59%,34%,0%,0%,15
臺北市大安區建倫里,0%,,43%,16%,42%,0%,0%,15
臺北市大安區車層里,0%,0%,0%,39%,27%,0%,1%,15
臺北市大同區建泰里,0%,,0%,59%,20%,0%,0%,15
臺北市士林區福林里,,,43%,50%,27%,0%,0%,15
臺北市萬華區糖部里,,0%,0%,30%,34%,34%,0%,14
臺北市萬華區榮德里,,0%,43%,39%,20%,0%,0%,14
臺北市南港區新光里,,,0%,16%,49%,0%,0%,14
臺北市信義區黎順里,0%,,0%,59%,14%,0%,0%,14
臺北市信義區松光里,70%,79%,0%,30%,8%,0%,0%,14
臺北市松山區民有里,,79%,,7%,42%,0%,0%,14
臺北市北投區尊賢里,0%,0%,43%,39%,14%,0%,1%,14
臺北市文山區萬盛里,,79%,,50%,14%,0%,0%,14
臺北市文山區政大里,0%,0%,,16%,42%,0%,0%,14
臺北市中正區網溪里,,,0%,7%,55%,34%,0%,14
臺北市中正區文盛里,0%,,0%,50%,20%,0%,0%,14
臺北市中山區聚葉里,,,43%,59%,14%,0%,0%,14
臺北市中山區恆安里,,,,30%,49%,0%,1%,14
臺北市大安區學府里,,,89%,70%,2%,34%,0%,14
臺北市大同區景星里,,50%,,76%,5%,78%,63%,14
臺北市大同區光能里,70%,0%,43%,16%,20%,0%,0%,14
臺北市士林區臨溪里,,95%,0%,7%,20%,0%,1%,14
臺北市士林區百齡里,0%,0%,0%,30%,27%,71%,1%,14
臺北市士林區天福里,,0%,43%,7%,42%,0%,0%,14
臺北市士林區三玉里,,,94%,30%,14%,54%,0%,14
臺北市南港區重陽里,0%,,43%,7%,34%,91%,1%,13
臺北市松山區中崙里,0%,,,30%,34%,0%,0%,13
臺北市中正區廈安里,0%,,,30%,34%,34%,1%,13
臺北市中正區河堤里,,50%,0%,30%,20%,0%,0%,13
臺北市中山區朱崙里,,50%,0%,0%,42%,34%,1%,13
臺北市大安區龍陣里,,,43%,7%,42%,0%,0%,13
臺北市大安區黎孝里,,,,16%,49%,0%,0%,13
臺北市大安區福住里,0%,50%,43%,30%,8%,0%,0%,13
臺北市大安區敦煌里,,,,30%,42%,0%,0%,13
臺北市大同區揚雅里,,0%,,39%,27%,0%,0%,13
